id_coder,text,del_ms,con_ms,so_ms,del_nca,con_nca,so_nca,agenda,del_com,si_com,con_com,del_age,si_age,con_age
0,Eba may also assist the competent authorities in reaching an agreement on the exchange of information under this Article on its own initiative in accordance with the second subparagraph of Article 19(1 ) of that Regulation .,0,0,0,0,0,0,0,0,0,0,0,1,0
1,"In the light of that review and on the basis of internationally accepted , objective and operational criteria , the Commission shall submit a proposal for a Council decision on the intensity of the special incentive arrangements referred to in paragraph 1 and the modalities for implementing them .",0,0,0,0,0,0,1,0,0,0,0,0,0
2,Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 145(2 ) .,0,0,0,0,0,0,0,1,0,1,0,0,0
3,"The Agency shall work together with all stakeholders , including research institutions , healthcare professionals , and patient and consumer organisations , in order to define the appropriate level of access  for healthcare professionals and the public to the Eudravigilance database .",0,0,0,0,0,0,0,0,0,0,0,1,0
4,The national regulatory authorities shall promote the interests of the citizens of the European Union by inter alia:(a ) ensuring all citizens have access to a universal service specified in Directive 2002/22 and(f ),0,0,0,0,0,1,0,0,0,0,0,0,0
5,"The Member States concerned , the ETIAS Central Unit , Europol and eu - LISA shall cooperate in the event of a security incident .",0,0,0,0,0,0,0,0,0,0,0,1,0
6,Member States and the Commission shall cooperate closely to ensure that this Regulation is complied with .,0,0,1,0,0,0,0,0,1,0,0,0,0
7,"In particular , the regulatory authorities where Member States have so provided or Member States shall promote and .",0,0,0,0,0,1,0,0,0,0,0,0,0
8,"By return , the Commission shall notify its confirmation that the requested amount(s ) of quantities are available for importation in the chronological order in which the notifications of the Member States have been received .",0,0,0,0,0,0,0,0,0,1,0,0,0
9,"When the competent authority of a Member State receives information from a third country , that authority may pass the information on to the competent authorities of any Member States which might be interested in it and in any event , to all those which request it , in so far as permitted by assistance arrangements with that particular third country .",0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Nevertheless , Greece may use the prefix EL .",1,0,0,0,0,0,0,0,0,0,0,0,0
11,"Routine movement In the case of routine movements , the competent authority may grant a permit , indicating , where applicable , the requirement for quarantine or pilot release as set out in Chapters IV and V.    Non - routine movement 1 .",0,0,0,1,0,0,0,0,0,0,0,0,0
12,The Director of the Agency shall be appointed by the Governing Board on a proposal from the Commission for a term of office of thirty months .,0,0,0,0,0,0,1,0,0,0,0,0,0
13,"Where two or more marketing authorisation holders are involved in the procedure referred to in paragraph 1 of this Article , the Agency shall divide the total amount of the fee among those marketing authorisation holders in accordance with point 2 of Part III of the Annex .",0,0,0,0,0,0,0,0,0,0,1,0,1
