Unnamed: 0,celex
1,31958R0001
2,31960L0921
3,31960R0011
4,31961R0007
5,31962L2005
6,31962L2645
7,31962R0017
8,31962R0023
9,31962R0025
10,31962R0026
11,31962R0027
12,31962R0031
13,31962R0049
14,31962R0059
15,31962R0129
16,31962R0141
17,31963L0021
18,31963L0261
19,31963L0262
20,31963L0340
21,31963L0474
22,31963L0607
23,31963R0018
24,31963R0099
25,31963R0118
26,31964L0054
27,31964L0221
28,31964L0222
29,31964L0223
30,31964L0224
31,31964L0225
32,31964L0427
33,31964L0428
34,31964L0429
35,31964L0432
36,31964L0433
37,31964R0017
38,31964R0182
39,31965L0001
40,31965L0065
41,31965L0264
42,31965L0269
43,31965L0469
44,31965R0007
45,31965R0019
46,31965R0030
47,31965R0079
48,31966L0162
49,31966L0400
50,31966L0401
51,31966L0402
52,31966L0403
53,31966L0404
54,31966L0454
55,31966L0600
56,31966L0601
57,31966R0070
58,31966R0117
59,31966R0130
60,31966R0136
61,31967L0043
62,31967L0227
63,31967L0427
64,31967L0530
65,31967L0531
66,31967L0532
67,31967L0548
68,31967L0653
69,31967L0654
70,31967R0067
71,31967R0190
72,31967R0741
73,31968L0089
74,31968L0151
75,31968L0192
76,31968L0193
77,31968L0221
78,31968L0297
79,31968L0312
80,31968L0360
81,31968L0363
82,31968L0364
83,31968L0365
84,31968L0366
85,31968L0367
86,31968L0368
87,31968L0369
88,31968L0414
89,31968L0415
90,31968L0419
91,31968L0420
92,31968R0234
93,31968R0347
94,31968R0459
95,31968R0653
96,31968R0802
97,31968R0803
98,31968R0804
99,31968R0805
100,31968R0827
101,31968R0950
102,31968R1017
103,31968R1496
104,31968R1612
105,31968R2146
106,31969L0060
107,31969L0061
108,31969L0062
109,31969L0063
110,31969L0064
111,31969L0073
112,31969L0074
113,31969L0075
114,31969L0077
115,31969L0082
116,31969L0169
117,31969L0208
118,31969L0335
119,31969L0349
120,31969L0463
121,31969L0464
122,31969L0465
123,31969L0466
124,31969L0493
125,31969R0097
126,31969R0543
127,31969R1059
128,31969R1191
129,31969R1192
130,31969R1229
131,31969R1467
132,31969R1472
133,31969R1544
134,31969R1545
135,31969R1629
136,31969R1630
137,31969R1905
138,31969R1957
139,31969R2052
140,31969R2511
141,31969R2517
142,31969R2520
143,31969R2601
144,31969R2603
145,31969R2604
146,31969R2622
147,31970L0156
148,31970L0157
149,31970L0189
150,31970L0220
151,31970L0221
152,31970L0222
153,31970L0311
154,31970L0357
155,31970L0358
156,31970L0359
157,31970L0373
158,31970L0387
159,31970L0388
160,31970L0451
161,31970L0457
162,31970L0458
163,31970L0486
164,31970L0509
165,31970L0510
166,31970L0522
167,31970L0523
168,31970L0524
169,31970R0541
170,31970R0727
171,31970R0729
172,31970R1023
173,31970R1024
174,31970R1107
175,31970R1108
176,31970R1308
177,31970R1463
178,31970R1471
179,31970R1525
180,31970R2047
181,31970R2048
182,31970R2164
183,31970R2365
184,31970R2366
185,31970R2476
186,31970R2551
187,31970R2554
188,31971L0018
189,31971L0086
190,31971L0118
191,31971L0127
192,31971L0140
193,31971L0144
194,31971L0160
195,31971L0161
196,31971L0162
197,31971L0235
198,31971L0285
199,31971L0304
200,31971L0305
201,31971L0307
202,31971L0316
203,31971L0317
204,31971L0318
205,31971L0319
206,31971L0320
207,31971L0347
208,31971L0348
209,31971L0349
210,31971L0354
211,31971R0974
212,31971R1182
213,31971R1233
214,31971R1261
215,31971R1318
216,31971R1408
217,31971R1410
218,31971R1411
219,31971R1516
220,31971R1574
221,31971R1696
222,31971R2277
223,31971R2358
224,31971R2387
225,31971R2396
226,31971R2821
227,31971R2822
228,31971R2823
229,31971R2838
230,31972L0002
231,31972L0097
232,31972L0156
233,31972L0159
234,31972L0160
235,31972L0161
236,31972L0166
237,31972L0194
238,31972L0230
239,31972L0242
240,31972L0245
241,31972L0274
242,31972L0275
243,31972L0276
244,31972L0277
245,31972L0280
246,31972L0306
247,31972L0418
248,31972L0425
249,31972L0444
250,31972L0461
251,31972L0462
252,31972L0464
253,31972R0514
254,31972R0515
255,31972R0516
256,31972R0517
257,31972R0574
258,31972R0609
259,31972R0793
260,31972R0845
261,31972R0857
262,31972R0858
263,31972R1035
264,31972R1445
265,31972R1566
266,31972R1703
267,31972R2059
268,31972R2429
269,31972R2454
270,31972R2456
271,31972R2591
272,31972R2779
273,31972R2812
274,31972R2822
275,31972R2836
276,31972R2837
277,31972R2838
278,31972R2839
279,31972R2840
280,31972R2841
281,31972R2842
282,31972R2843
283,31972R2844
284,31972R2845
285,31973L0023
286,31973L0044
287,31973L0079
288,31973L0080
289,31973L0103
290,31973L0132
291,31973L0146
292,31973L0148
293,31973L0150
294,31973L0169
295,31973L0173
296,31973L0183
297,31973L0210
298,31973L0238
299,31973L0239
300,31973L0240
301,31973L0241
302,31973L0358
303,31973L0360
304,31973L0361
305,31973L0362
306,31973L0404
307,31973L0405
308,31973L0437
309,31973L0438
310,31973L0440
311,31973R0175
312,31973R0176
313,31973R0180
314,31973R0421
315,31973R0428
316,31973R0429
317,31973R0509
318,31973R0878
319,31973R0907
320,31973R0951
321,31973R0952
322,31973R0953
323,31973R0954
324,31973R1014
325,31973R1112
326,31973R1247
327,31973R1249
328,31973R1252
329,31973R1491
330,31973R1691
331,31973R1692
332,31973R1707
333,31973R1787
334,31973R1908
335,31973R2170
336,31973R2411
337,31973R2543
338,31973R2682
339,31973R2910
340,31973R3056
341,31973R3134
342,31973R3177
343,31973R3260
344,31973R3288
345,31973R3356
346,31973R3357
347,31973R3456
348,31973R3476
349,31973R3539
350,31973R3573
351,31973R3613
352,31974L0060
353,31974L0061
354,31974L0062
355,31974L0063
356,31974L0121
357,31974L0148
358,31974L0149
359,31974L0150
360,31974L0151
361,31974L0152
362,31974L0297
363,31974L0318
364,31974L0329
365,31974L0346
366,31974L0347
367,31974L0387
368,31974L0394
369,31974L0408
370,31974L0409
371,31974L0411
372,31974L0412
373,31974L0483
374,31974L0553
375,31974L0556
376,31974L0557
377,31974L0561
378,31974L0562
379,31974L0577
380,31974L0644
381,31974L0645
382,31974L0647
383,31974L0648
384,31974L0651
385,31974R0152
386,31974R0153
387,31974R0154
388,31974R0155
389,31974R0165
390,31974R0305
391,31974R0306
392,31974R0331
393,31974R0419
394,31974R0428
